Column1,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,class
26,0.742321169,0.654500021,0.448571049,0.964789919,0.17600732,0.298218527,0.852855805,0.841904476,0.836722243,0.475935734,0.905371008,0.844477363,0.374081051,0.314602056,0.194679311,0.492896681,0.079846797,0.79921273,0.3063258,0.862006403,1
27,0.422098958,0.378678326,0.601309283,0.256323264,0.046703656,0.08681845,0.852649071,0.590093083,0.007093012,0.349077405,0.64979485,0.322928873,0.655802688,0.128657014,0.609054701,0.940262182,0.222809566,0.455528956,0.747642984,0.858017494,1
28,0.121985381,0.314274133,0.484703907,0.77311475,0.25408455,0.056877424,0.169750385,0.556877277,0.291341955,0.291937847,0.432057656,0.785102817,0.600461602,0.170411279,0.697725528,0.401360373,0.963495493,0.870936095,0.362440511,0.944747802,0
29,0.070393563,0.594597582,0.279730402,0.026978617,0.942317916,0.999369023,0.539590916,0.406670796,0.574941102,0.617750824,0.598926755,0.961181713,0.294423046,0.911079996,0.486534629,0.081483484,0.159994009,0.320176428,0.186077175,0.388568862,1
30,0.482704776,0.448532125,0.177173241,0.243483481,0.041302465,0.030094943,0.475033364,0.060508517,0.967435799,0.393410215,0.157420924,0.017997548,0.11502903,0.928541262,0.618320687,0.179581797,0.535787422,0.257787809,0.753759192,0.808422284,0
31,0.728140389,0.106865286,0.287018727,0.574702908,0.481610724,0.168299984,0.652946195,0.077368134,0.830737347,0.306229959,0.346494807,0.16600198,0.743540611,0.088536831,0.751470751,0.029472709,0.893910135,0.92367963,0.075046669,0.50768945,0
32,0.696668625,0.270416535,0.825253996,0.025875496,0.113754551,0.954985977,0.023929835,0.385082771,0.759160033,0.068333317,0.894828445,0.01656657,0.088481044,0.681222602,0.979220858,0.541079567,0.795238784,0.632188361,0.398580671,0.351122875,0
33,0.721967028,0.585794154,0.003516344,0.385340801,0.92867247,0.637094808,0.179510481,0.860719876,0.815719493,0.468836148,0.348450881,0.734368235,0.856990396,0.979272494,0.717288581,0.964810433,0.404733688,0.134545389,0.917240539,0.242578197,0
34,0.219863301,0.901564379,0.198765786,0.412216428,0.760230777,0.178405831,0.755761065,0.420773355,0.478836309,0.829077065,0.810847874,0.084635366,0.371473363,0.490586529,0.868877068,0.083812871,0.123166426,0.270491489,0.527833278,0.303211915,1
35,0.523714292,0.731328078,0.496501873,0.220174792,0.515815772,0.668129205,0.111408287,0.980725764,0.4375629,0.75429936,0.56397258,0.164238832,0.015208026,0.183210132,0.591748432,0.625253509,0.217301326,0.518179751,0.628344627,0.345169285,1
36,0.374380408,0.852074617,0.840818895,0.286508098,0.593932333,0.991067521,0.412236056,0.265419091,0.481570386,0.84709339,0.733428184,0.686332658,0.135063935,0.151375416,0.217616175,0.418805463,0.045693783,0.319147272,0.897053421,0.483972743,1
37,0.200813111,0.128589113,0.305063258,0.507509705,0.827109143,0.939343034,0.794005305,0.056001609,0.021895609,0.477549095,0.211477761,0.879580032,0.265515726,0.720888365,0.4830093,0.563676678,0.236961733,0.773494719,0.545024034,0.103385121,1
38,0.715943916,0.829442847,0.452470249,0.683030313,0.506173735,0.946329379,0.146041271,0.256091534,0.053447266,0.689015687,0.566699473,0.679760958,0.64607995,0.086813316,0.561070879,0.63677931,0.278353207,0.152080694,0.482901288,0.814284345,1
39,0.055674947,0.417660642,0.283904522,0.97925075,0.645096646,0.43872731,0.574890687,0.24682615,0.828902443,0.54949439,0.142502877,0.20917852,0.935481958,0.842665168,0.416135653,0.708373235,0.203698304,0.659189589,0.648411276,0.217112815,0
40,0.116693878,0.127196948,0.939092878,0.295536154,0.982203596,0.624429103,0.370205372,0.401129886,0.339412404,0.464815617,0.853383987,0.215075336,0.931419789,0.486417415,0.258045231,0.999739409,0.985434105,0.70006874,0.122333564,0.171534546,0
41,0.282430808,0.715630516,0.095747969,0.093448315,0.262344994,0.515139129,0.532122923,0.487843638,0.66340088,0.765928836,0.578814184,0.260869519,0.470551718,0.815510468,0.175038329,0.13876008,0.688828535,0.682955314,0.276247136,0.647490606,0
42,0.952312994,0.05765872,0.326405211,0.077511089,0.713930267,0.398081592,0.50315391,0.816893623,0.398196717,0.810621002,0.212516948,0.941507119,0.571550755,0.793543793,0.41940527,0.735423032,0.920445786,0.719021497,0.028794703,0.20858265,0
43,0.34547273,0.369284201,0.215959978,0.60590205,0.723766112,0.68635008,0.219814292,0.701369773,0.585152084,0.07147205,0.451317746,0.303827656,0.347576228,0.893803644,0.661150123,0.733540437,0.806121409,0.875697145,0.267254571,0.509579698,0
44,0.411817147,0.200913801,0.568506307,0.494281145,0.650287388,0.15256774,0.443197112,0.97642399,0.633369504,0.345472438,0.850685473,0.641154306,0.403754728,0.890570954,0.432596492,0.67428029,0.116244751,0.191064271,0.115755634,0.711242854,1
45,0.372355561,0.223336856,0.725562552,0.766874734,0.987332494,0.321623043,0.038428998,0.381604353,0.853564086,0.926156469,0.517582985,0.946572821,0.254265483,0.656537931,0.316787477,0.185424132,0.820957987,0.150821338,0.450401715,0.133400263,0
46,0.251896774,0.315291753,0.08893291,0.92904992,0.007147091,0.975844519,0.428221864,0.897091458,0.556164159,0.85149363,0.158095346,0.734304933,0.972635347,0.537987907,0.628180167,0.930094361,0.439764341,0.100051143,0.859352429,0.993808887,0
47,0.665979579,0.548606461,0.40506992,0.854009397,0.88680878,0.886431512,0.226056292,0.851520192,0.802425605,0.280233036,0.121875404,0.355067779,0.907723497,0.63001091,0.297660821,0.038875342,0.875860384,0.592005127,0.655893925,0.931139712,0
48,0.239157186,0.563584821,0.625884284,0.47904103,0.577211935,0.996627349,0.488383429,0.685521881,0.286385945,0.688628393,0.400259456,0.491829089,0.380552561,0.797943697,0.16819335,0.574675601,0.017628547,0.918894474,0.782946159,0.748251971,1
49,0.463165691,0.261665086,0.732959522,0.54085315,0.986447426,0.428460524,0.079190283,0.130624888,0.753328542,0.514589922,0.901339033,0.81405064,0.692531205,0.499612558,0.795012129,0.297779121,0.4300954,0.959931056,0.312968947,0.828516234,0
50,0.123011465,0.930904447,0.976414793,0.332223759,0.91622895,0.443949733,0.298383336,0.99245313,0.731996072,0.131370663,0.999261373,0.77264504,0.698494323,0.454600913,0.933978251,0.734485622,0.194223427,0.96432208,0.993541181,0.159906151,1
51,0.024774904,0.173878528,0.345579393,0.155770381,0.518900641,0.100233814,0.64212929,0.827917329,0.402641624,0.515753632,0.484256845,0.989899962,0.71852115,0.697853903,0.787356886,0.03947905,0.845957307,0.533317418,0.769077686,0.73539568,0
52,0.785755573,0.610687494,0.68725928,0.123711643,0.231374796,0.155503333,0.04047457,0.598733317,0.964694726,0.688165093,0.033508428,0.973104522,0.030679028,0.081041748,0.359356008,0.428107209,0.360146008,0.647362992,0.449222758,0.386298288,1
53,0.934452506,0.404018535,0.205667294,0.798790593,0.281358055,0.768899426,0.540002642,0.108000724,0.87598039,0.713942564,0.9360589,0.733620817,0.799057672,0.712125686,0.416704939,0.099736353,0.584185299,0.015189368,0.890234679,0.980231787,0
54,0.593401714,0.713739768,0.257183236,0.036968722,0.914999381,0.796895788,0.005472856,0.966028399,0.598502857,0.826621859,0.023612333,0.167877313,0.539943573,0.621947244,0.71388448,0.167744865,0.095605579,0.258648592,0.259898672,0.238252291,1
55,0.758866557,0.020374149,0.088937111,0.362013396,0.830726475,0.854609565,0.46374338,0.957636452,0.781120232,0.075274898,0.834988592,0.754228637,0.531088165,0.942693747,0.346421861,0.082487137,0.483025477,0.956592731,0.176534173,0.42799013,0
56,0.449763888,0.87824663,0.454169095,0.174142611,0.801383901,0.459865238,0.885586325,0.320940414,0.570993467,0.253254061,0.141320991,0.156529759,0.561236298,0.480496153,0.401665446,0.950252711,0.731129284,0.474469978,0.251587473,0.156396379,0
57,0.199038075,0.107204313,0.915013878,0.628430633,0.491143932,0.857492819,0.753747594,0.922242202,0.97505155,0.362879885,0.863015701,0.175468043,0.008126854,0.734551456,0.381999099,0.840755313,0.709874454,0.308165097,0.564526033,0.916817805,0
58,0.845130046,0.99236134,0.712623942,0.932584749,0.457651709,0.158270027,0.67524601,0.188450004,0.833382302,0.940150665,0.783454272,0.431023288,0.66115002,0.387504842,0.203477283,0.757251886,0.498243908,0.344735088,0.628586894,0.844195195,1
59,0.416608829,0.948537997,0.026738543,0.125995564,0.153581867,0.637671691,0.904690878,0.468627949,0.356612413,0.734574221,0.468348785,0.839344756,0.285821329,0.95313964,0.704422088,0.327208062,0.960078242,0.275821515,0.367504215,0.909924901,0
60,0.423543783,0.35158109,0.6305121,0.696597295,0.498297557,0.46305487,0.982237662,0.747032691,0.284223938,0.812358852,0.535426026,0.330589601,0.541212513,0.878989261,0.045928825,0.384715919,0.928827413,0.957472469,0.42319276,0.169431436,0
61,0.847402239,0.96416142,0.601692739,0.535369707,0.822154305,0.336833995,0.918587749,0.971783212,0.222199973,0.932458552,0.484482028,0.195913519,0.305880205,0.048250163,0.774431407,0.141545828,0.747201997,0.383955452,0.871073606,0.020752392,1
62,0.859083382,0.251747728,0.780479238,0.961668804,0.514117119,0.79368624,0.734560127,0.175952097,0.328481195,0.566217655,0.44285377,0.477205245,0.138092816,0.468559529,0.162752119,0.824767514,0.916711853,0.596440283,0.998756127,0.284206828,0
63,0.468740785,0.026497639,0.778117631,0.486167568,0.726929833,0.209321847,0.328563752,0.835012755,0.6751304,0.502161133,0.887917989,0.689558394,0.031331121,0.860366077,0.345737527,0.325387182,0.241574458,0.445928096,0.959135123,0.297877716,0
64,0.615267775,0.348954607,0.861511842,0.887305315,0.458938933,0.680448494,0.679672085,0.915389533,0.786424656,0.917377217,0.640483209,0.82537442,0.318187996,0.625554741,0.316520833,0.679062497,0.663827491,0.207422682,0.959980347,0.46071879,0
65,0.366090921,0.899181722,0.489421456,0.368234101,0.382015967,0.463269757,0.540618329,0.817977587,0.484548882,0.839342784,0.520580955,0.779787854,0.369505654,0.794279017,0.649588679,0.474079801,0.08388043,0.889664802,0.060126622,0.832476138,1
66,0.697092966,0.008847335,0.644917469,0.550533973,0.005531704,0.76260753,0.307651997,0.278099489,0.746395722,0.930853991,0.402573932,0.593970415,0.525203985,0.844176632,0.585123776,0.621019733,0.974576631,0.575279397,0.874418721,0.106665998,0
67,0.976309731,0.59276734,0.697168485,0.095556174,0.576311166,0.811492743,0.023453639,0.620921268,0.532779077,0.36715166,0.261866334,0.16426887,0.313159619,0.826224326,0.517110054,0.572592678,0.735858614,0.818701016,0.022945613,0.324618649,1
68,0.986557055,0.038669124,0.886582394,0.793945751,0.489413849,0.174261668,0.328882782,0.435089575,0.436152725,0.933319213,0.375296199,0.31112391,0.172983987,0.442544877,0.633202559,0.017962611,0.593156083,0.884016463,0.745807152,0.169111632,0
69,0.540351742,0.916502031,0.528295865,0.924656472,0.436900243,0.775911066,0.496528684,0.797750329,0.135446604,0.449463718,0.066775074,0.689764691,0.293779219,0.745445775,0.473377483,0.82568967,0.015000428,0.421216305,0.883354787,0.953049345,1
70,0.852342424,0.838442251,0.93730209,0.522224079,0.764086648,0.95579699,0.081448359,0.183159932,0.041603307,0.08460414,0.731425319,0.17480455,0.190794022,0.580910657,0.352679308,0.910343222,0.665715915,0.680210374,0.698279836,0.987425308,1
71,0.483027456,0.09382964,0.430162398,0.285340242,0.894545065,0.081635886,0.942676565,0.451429614,0.283322662,0.777277188,0.116307597,0.052389395,0.416410632,0.999271738,0.177105539,0.636492058,0.014771509,0.04478386,0.36547616,0.655236694,1
72,0.625246373,0.402169276,0.124173244,0.957528984,0.558972207,0.799085248,0.348667549,0.891012221,0.814211576,0.631190321,0.540721904,0.079090879,0.622464992,0.899328591,0.605568137,0.954763134,0.834970104,0.32399255,0.230483592,0.134383948,0
73,0.70328559,0.096523687,0.267572339,0.980735859,0.953065426,0.529369968,0.159311301,0.817292008,0.206919509,0.149352228,0.119785404,0.126285197,0.941359444,0.042223053,0.222773529,0.089867806,0.018460067,0.411649648,0.925066298,0.569262031,1
74,0.706393849,0.448733789,0.390015011,0.135100158,0.588136903,0.283532145,0.607760987,0.728383809,0.005685146,0.774500499,0.233980019,0.896266031,0.242647277,0.456681117,0.320113594,0.459290963,0.545756596,0.09310596,0.644425889,0.110835734,1
75,0.97757918,0.090039434,0.99656689,0.320904592,0.431447201,0.368220709,0.211207319,0.31866158,0.999558102,0.443539706,0.034784579,0.891538064,0.204293837,0.813839448,0.06575315,0.822420397,0.728152785,0.025044305,0.990937208,0.713498407,0
76,0.322698173,0.315458258,0.096201742,0.144936785,0.095345467,0.538768207,0.760815634,0.630078663,0.546259277,0.227692953,0.085987284,0.749278219,0.523386017,0.818153568,0.82480687,0.251621771,0.622986866,0.778832143,0.719420948,0.927935049,0
77,0.203804378,0.287666844,0.533449186,0.85915702,0.754389602,0.085541217,0.483099483,0.618093977,0.59659691,0.402259449,0.72314058,0.594771502,0.108000402,0.297201535,0.802553736,0.33180155,0.328698254,0.236207155,0.48956852,0.78119206,0
78,0.522212167,0.970850163,0.913473709,0.859148577,0.042385653,0.679540784,0.22689825,0.665237157,0.764553347,0.857031,0.195150821,0.708008981,0.867322883,0.260616364,0.464447412,0.946880703,0.347316773,0.556861481,0.603305757,0.249777093,1
79,0.855576457,0.684437509,0.201020952,0.513046642,0.923800953,0.219670651,0.47807073,0.523118944,0.908199192,0.418843437,0.923154967,0.849327205,0.145383057,0.015882587,0.912708642,0.61897916,0.563947457,0.470060874,0.802015364,0.873146242,0
80,0.85257585,0.423804142,0.533341576,0.085391552,0.018307419,0.049795439,0.046149992,0.664773357,0.410414263,0.29660825,0.254986522,0.603995679,0.031047732,0.755600393,0.509064052,0.684721996,0.931057135,0.207668409,0.082059471,0.59835355,0
81,0.308071238,0.505902354,0.340009973,0.976184635,0.716643329,0.995799474,0.3816707,0.794540534,0.46131563,0.398025501,0.227513548,0.686888681,0.100465364,0.732982027,0.553734367,0.83640097,0.156294803,0.230324426,0.788512025,0.793471849,1
82,0.848360888,0.021840051,0.449924369,0.508323084,0.308010908,0.242175509,0.232856662,0.602573235,0.736448113,0.913952371,0.537087347,0.374911945,0.306440528,0.893881275,0.432193981,0.203145085,0.938502595,0.914042543,0.23695182,0.51542809,0
83,0.85080424,0.097935174,0.660859291,0.339367812,0.469634667,0.925841715,0.978576072,0.856371007,0.221152489,0.160535902,0.396487665,0.719194912,0.027874979,0.225707116,0.342286465,0.083073056,0.901947668,0.526308962,0.940864052,0.967981871,0
84,0.669215564,0.345971328,0.1677162,0.924807114,0.155873623,0.239832625,0.501716473,0.481989896,0.725285014,0.045279954,0.683231579,0.604296189,0.09064339,0.214746753,0.622479204,0.662656543,0.697240781,0.952335009,0.660518227,0.041889679,0
85,0.108116544,0.581338734,0.511594312,0.112668982,0.885446559,0.19894324,0.043332079,0.691748511,0.661627427,0.667328302,0.162344315,0.654989335,0.695370292,0.472574845,0.525940189,0.386937084,0.456964393,0.254266311,0.957847511,0.496156497,0
86,0.080405781,0.465358929,0.41098626,0.537713484,0.909852163,0.112911329,0.009416989,0.250027059,0.40409087,0.230057317,0.265668023,0.993346322,0.088316843,0.418881078,0.394423067,0.893839666,0.271859643,0.926300479,0.676640432,0.968997898,1
87,0.861919757,0.248606385,0.182263759,0.54434523,0.586769954,0.14214722,0.928576785,0.219776088,0.68827432,0.422558749,0.950777398,0.63613558,0.410645218,0.090728026,0.151301015,0.586961884,0.379056411,0.11628991,0.742650452,0.800444552,0
88,0.797398157,0.894651781,0.738998138,0.76285336,0.419869645,0.497232818,0.376841419,0.804757796,0.060340518,0.541150755,0.727621671,0.509355684,0.09377061,0.39089882,0.534321757,0.688135512,0.481303722,0.07275372,0.641966273,0.691022459,1
89,0.251016106,0.477751967,0.251001333,0.179626835,0.518782546,0.214237268,0.339876039,0.212490743,0.563597319,0.730775669,0.147233001,0.537253592,0.550127513,0.126751228,0.898377931,0.829639473,0.677368131,0.902635425,0.370861814,0.858809958,0
90,0.621358204,0.63491708,0.296871352,0.14827952,0.910372315,0.41776401,0.874471315,0.021870898,0.456036426,0.134499242,0.395335953,0.631400065,0.987357994,0.169577204,0.847044166,0.107258024,0.565812683,0.872141004,0.641830051,0.929011316,0
91,0.695450284,0.472716282,0.025442369,0.739918215,0.895471375,0.136478108,0.768870936,0.579519264,0.410099317,0.9776942,0.203813903,0.207712825,0.945120364,0.453451321,0.697743478,0.408624842,0.148520842,0.661713282,0.389416658,0.904223083,0
92,0.750074599,0.579450113,0.568191665,0.8013718,0.86138904,0.936818113,0.168550741,0.337676684,0.502337574,0.525593024,0.715032462,0.307559793,0.125054561,0.016855432,0.494101073,0.765903054,0.424860448,0.8589861,0.595462123,0.875675182,1
93,0.923098388,0.258613256,0.529728861,0.072623591,0.150674086,0.967145923,0.635747416,0.959023757,0.817408557,0.936600393,0.750783166,0.472786661,0.861270863,0.797872749,0.866736733,0.696706678,0.953581178,0.376418678,0.68962217,0.604224362,0
94,0.271354552,0.548710522,0.668780238,0.805539111,0.491600858,0.995988322,0.762326099,0.737951822,0.097827363,0.121474718,0.213441885,0.276119695,0.651341242,0.147064664,0.662429893,0.835155436,0.481013847,0.55070272,6.30675E-05,0.702077057,1
95,0.097836457,0.950170593,0.006905875,0.669536259,0.485150691,0.503137601,0.820917188,0.48067952,0.489303891,0.372373935,0.385707955,0.45260454,0.771084394,0.139599182,0.73520405,0.296871558,0.265367153,0.742961269,0.135091321,0.703735354,0
96,0.576238887,0.73306535,0.939950752,0.477100163,0.694702124,0.697769584,0.448200514,0.976519973,0.403822415,0.391795534,0.024882464,0.055335329,0.320575233,0.682340791,0.036146112,0.206105627,0.442016362,0.824909188,0.001079929,0.226878543,1
97,0.739646721,0.452046229,0.50246445,0.400671573,0.544888367,0.618812513,0.826415497,0.385215564,0.994033599,0.853747809,0.38830118,0.918630629,0.145826161,0.895745384,0.852582149,0.266427366,0.57141158,0.075414881,0.904128558,0.109978518,0
98,0.065864267,0.127688562,0.624645228,0.995466573,0.148270337,0.541179609,0.37368299,0.221084132,0.171157048,0.461076776,0.262428519,0.859230772,0.668301371,0.367893429,0.95290636,0.844693915,0.782835356,0.812840774,0.939360833,0.872793791,0
99,0.650357506,0.261439569,0.993355379,0.73898926,0.26639613,0.644615277,0.481911673,0.728359695,0.5330849,0.049114865,0.288225145,0.411811082,0.382705048,0.250726946,0.703409406,0.68651826,0.317561546,0.818779469,0.169315151,0.12624605,1
100,0.481719529,0.236297598,0.042273101,0.675401321,0.494667682,0.801220101,0.682691571,0.836392869,0.101928642,0.659699126,0.343692006,0.718940228,0.699530929,0.016682541,0.915270301,0.754996961,0.445750029,0.10677911,0.789983979,0.858890568,0
101,0.978512177,0.02701808,0.720104054,0.589527303,0.952804542,0.546968071,0.81098746,0.862118035,0.462340554,0.683396979,0.923626424,0.325974196,0.334779829,0.72216524,0.790761089,0.451598059,0.446132598,0.986780826,0.16358328,0.333059767,0
102,0.563361576,0.129444754,0.405522122,0.741248804,0.063116819,0.358157655,0.583658171,0.366897396,0.355615501,0.89247325,0.177970214,0.694202738,0.34093644,0.958558638,0.46870721,0.088750061,0.48574067,0.333795065,0.658025325,0.686104238,0
103,0.908672485,0.286932577,0.032836704,0.88849555,0.865496672,0.679095454,0.252270234,0.348156984,0.91092807,0.055484804,0.555469818,0.029287762,0.798408325,0.216017859,0.185044966,0.941833128,0.28539604,0.074196155,0.958752996,0.865978624,0
104,0.643842456,0.301118594,0.876314457,0.920399488,0.324846224,0.033782316,0.387963562,0.730986422,0.428884043,0.986967054,0.053179328,0.332603701,0.882528257,0.903700184,0.242156178,0.410599957,0.162154606,0.158802457,0.792874595,0.370969792,1
105,0.517404475,0.275531908,0.278877393,0.257058512,0.504812086,0.542328321,0.308975046,0.420006336,0.801045978,0.967125111,0.495731939,0.657497989,0.565454131,0.275216066,0.094304161,0.639669789,0.271081201,0.03618615,0.952340687,0.391210733,0
106,0.136472209,0.846803276,0.905997034,0.723392011,0.481434975,0.703467948,0.975292415,0.58903809,0.137726047,0.297050461,0.535651198,0.269392465,0.139327066,0.353656182,0.127282364,0.265765293,0.557131082,0.367645734,0.86140069,0.43659572,1
107,0.32010878,0.76580344,0.196931847,0.107957965,0.260227576,0.183503251,0.034817563,0.381452587,0.510179825,0.366286317,0.669444205,0.863915766,0.708354471,0.192339164,0.824223188,0.59947352,0.518221911,0.663016237,0.627274725,0.332868987,0
108,0.616541548,0.819403822,0.494515585,0.386753781,0.000218662,0.333150015,0.830150657,0.213443352,0.629075394,0.496313381,0.997982469,0.294321785,0.717655674,0.323065319,0.043575136,0.358458243,0.562440678,0.84231895,0.048486609,0.910257403,1
109,0.001415844,0.854183082,0.458052368,0.333881358,0.232288883,0.546473772,0.367960719,0.481885917,0.183736998,0.710151802,0.654534414,0.465785868,0.837411343,0.322559472,0.728817536,0.011405974,0.202861386,0.93485691,0.899457705,0.188495142,1
110,0.231343959,0.882567781,0.341777146,0.353690297,0.90128867,0.679928844,0.622404256,0.353657596,0.269858718,0.063652784,0.936671827,0.904686967,0.070829825,0.228922349,0.913436097,0.787684267,0.363556521,0.184012057,0.192085059,0.641349666,1
